battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1867,0,2.3,0,0,1,9,0.1,191,6,3,712,1442,990,6,1,2,1,0,1,2
1808,1,0.5,1,1,0,31,0.5,92,2,16,714,1208,2736,9,1,8,0,0,1,4
946,1,2.6,1,17,0,5,0.1,166,3,20,1698,1771,3720,15,7,4,0,1,0,4
1821,0,0.9,0,9,1,12,0.3,114,1,18,97,1803,2430,7,4,6,1,1,1,3
1558,1,2.4,0,0,1,27,0.1,146,1,1,120,1409,3598,9,2,12,1,0,1,4
1215,0,1.0,0,4,0,16,0.1,130,4,8,454,1473,2632,7,1,15,0,0,1,3
1757,0,0.5,0,8,0,49,0.5,180,6,14,265,713,2056,7,5,4,0,0,0,2
1596,0,2.9,1,7,0,7,0.7,149,2,9,169,1190,2493,14,12,13,1,1,1,3
1330,1,1.8,1,1,0,40,0.5,177,1,5,194,892,2678,9,4,14,1,1,1,3
1872,0,0.5,1,3,0,17,0.7,89,6,6,1749,1767,724,17,3,9,1,0,1,2
999,0,2.6,1,11,1,56,1.0,165,4,13,342,1641,3083,8,4,11,1,1,1,3
733,0,2.1,0,5,1,7,0.2,174,7,10,445,1409,1403,15,8,2,1,1,0,1
1658,1,1.4,0,0,1,39,0.7,182,1,5,410,522,3483,10,1,15,1,0,1,4
1159,0,1.5,0,3,0,36,0.4,104,4,8,717,1206,2115,8,7,18,0,0,0,3
820,0,0.5,1,2,0,58,0.3,160,4,4,468,694,1284,17,7,17,0,0,1,1
601,1,1.4,0,4,1,4,0.1,154,4,13,356,765,532,12,8,10,1,1,1,1
913,0,1.7,1,1,1,41,0.3,103,1,14,431,1144,2278,15,3,18,1,1,0,2
1161,0,1.3,1,0,1,21,0.6,126,8,12,308,1169,3336,6,4,14,1,0,1,4
1303,0,1.0,1,0,1,15,0.1,138,3,10,229,1604,2574,12,4,14,1,1,1,3
708,1,2.7,1,0,1,63,1.0,195,8,7,78,654,2169,6,5,7,1,1,1,2
1620,1,2.2,1,0,1,30,0.2,185,3,3,832,1033,606,6,0,18,1,0,0,1
1658,1,1.4,1,0,1,38,0.3,159,5,0,51,739,2609,12,11,19,1,0,0,3
